ETH,SOL,Amount of Nafflings
0x4ae426eDec8BF5d8b361ff9Ee056ffFC3010e516,vubwNxZV6bqPSmSH3Uuox64QDP6kyKPysDbUGmUc3Zt,500
0x4Eab499faa39247500096695F90D70511579e90B,79HjU6Szma89Xku8hkes9EsWnmW2mynJKxU2Wyp3w1Z2,500
0x5106A11426C4BF75D177d0f599f3410D996B6F14,7R4XJzLnZht2ESB3LBWvmu6jnasJKQ82aBtJv2HTYEEU,2000
0x52a4436429F9ea389c5a3120011c8e3c743c2F1D,B1gUn6KWFYKkFKZXjqyXzpaEkzhrM8ML626LXFXbW8Zj,2000
0x53B981d7024c61c5f337DD5f208501969a1E944f,4pwtKWyvxDVdwYfT22s6NubkhsyeqoT8GczQiCizr5Vi,500
0x5435DC50Ff2A145F69Afb05E7cc8b12FB629A17B,AVEzFjtVr1Xs8P7dpfmFChzNfZz2vAMsf3qmxJrPR98k,1000
0x54eff93055B66d6A23F77313bB898De2bdC53Bf9,LoDwa2jexMo1L9RSZTcwCf3Us7PMR8vcUqo1fz8rWct,2000
0x5966d0B844B78695a8BD6f1Ba9cb4f9b5271b433,QM1MwS1YsKEmbQfxzjrVSt93Eaghdriq1xwzE3oJrpf,500
0x59C8dA43DcA4AFECb691d0C349C04eEe3B026B6b,8Qo17eTySqeyXwLjHFs67zWeuZfh7VPCVXu35wt1pAgJ,500
0x5aB194e0cFbEDE94716d8F299c72FfFd8bA1b031,4xpeKjQSMHsDfe3U684ujTzgvfPuUFUs4TSSiucyCM7z,2000
0x5Af0F7fadb7804698a4ea45ca6FfeD7200c91169,AFTXSWVjoMoj3ubM7b1BrGueBNDMhRLkVY9uU9rrYCFk,1000
0x5D5D5384426ecaA902df19985B754F5a6b2FC8aC,9jZvV2ymK4nk1KRjFnXJtCRP5HFra5ms6tH96zrKtRCS,500
0x5F7036D0C8EA4aeA228FcA3585c61DBe387A345a,2XBWkbkDgr6mmrdRs19GW4rFJvJ1Rh8qYsLA8fceQh8E,500
0x5Fe48e70B8C69B45d77c444b94CaEe378517Cad4,Fq5idf8zozVWo9VBQo832DybPoydXgHJUtGPaUQNLdLM,1000
0x60145B03c6573c57Bd9E95579e6D0886E812a62a,2RBCRSJdQEYMHwDrveoftoaNbZCfxnt2XDupYJpY3DoX,500
0x602b4e7bd90f9cde9c59144de438fc395ce4bfed,GALHDGfcGeXJexi9KFvZ4KymnSkGzsXmh6KvuUxGUSZK,1000
0x60Bb68471Fd333F063214135b837087e46C80bd3,DRefUkKyxH2biWCzuWsnaYpCtq7Ch2SLjFPk4hYP3by5,2000
0x61754d33c5abf22866F03E734541A05b1b6E6b44,4SSx5RZ1aGqgTiUxdGpZm2eeKoGLQ6BxhHwRy8soPUcZ,1000
0x62E4E8FbD07b453ebF626523B6A068ecD5643C50,HzBdGqpQ2omQigeWPEU1YdkRxb5raLG7Pv9nHCpfEGCN,2000
0x64Fe4dCeBFD1cabDd3f60155de0CBdA24E618cDA,0x64Fe4dCeBFD1cabDd3f60155de0CBdA24E618cDA,500
0x6624a86d8dfd6ebf7bbc7fe724c3ffccd819479a,3fXNPrLgirq62mF8AJdoah6EkEtFgk2Ut53MLwzWbUMe,2000
0x665348f76033755CbD2ddbd2CDF99E6789f681C5,5DFrLwz3dPnhLA2RVjRrQ7Vo3y8PLKKyvLAAqjvTa4F4,5000
0x6727F36622ca4db367E7585d1389FC2ca1ee597A,vPMWXSePnJmtZj44cA7EXCYt3P11J3RPeZg5PjdBKoR,1000
0x6822EC70ac4d5C329Fc43996765D766a96dE5ddC,G2DjNVhyJrMbHcRhn9j79qfYkt8bhRKLCuBBCZ6fxkms,500
0x6844a2FA388Cff50F7CB085F1Fa631Ea91294015,A985nYLCRSdnbPAAQiR4oFdybhQ2fEmqUVJVJcdyuNph,500
0x69aEeE1B5061D5AF0110Bd65D8b27dD1Ca728ccA,9yMNetqRS5b1am4KXxWdzZJzsRPeP6AKvkbJ543LFHDZ,8000
0x69eCb2B43586331CEF0C1c355021C4505A176a5E,DRiqWqsgNBCRFFqDBohDTkE1E7AfWfJeVjGZ4x9LFkAB,500
0x6E48a2b12004EE6cd4a6f887705044Bf1577618d,2cJR1VSKS4weaUsk39jhoue7zYaRvPSKcUsHwTPNzDxJ,2000
0x6f055e2C7619984343D98f06677F86877693bc37,HzQijmcsQQZfnsEovyDYtfLL745GYWn8Hjjny2nzcUuX,500
0x73810d5b5301c8f76FBc6bAc2299E06f903ADcEd,DkSx3oQEnZmrLpkfSBAnAcLXYLLTuSHoGGZDTkdWGDmF,500
0x73869e1C8a9715A7Ff9fceaed9eD82C6C20c8BAe,9XbyhNQtTNQQoFt7geb7aqLx3pPwSqRYgpVtmbFu7TzL,500
0x74401deb1f5E8Bb713fECa5131860F940f5bD3eb,HH1rckbGJbB8tJX16npCgTey83g5LX6s4gQ47QFfryUs,1000
0x765Aacb083D7BD1a72D90cDB93F1AEba576D6Ad8,9bdvCQywhaRgZstYKwABo5sh65cBih13WaK1Kbs3Kacp,2300
0x76dDb04C11d61B720D447B52516cF7d0eD381E6e,J5Fqg3qnE2Vwc9jYaQCyeihChuvQLP3gjCqC3a8gpdCT,500
0x77812d3dAb5d445fa1b4Ad9408Ac368740d2A666,B5NBUod94yYNwk6hgUjcTExNhfWdHMF8pBSgZsaAKL7A,500
0x786136fBB08c8980381946F176dF30202c723d11,G3x1U5pBXKQZCMr2DtCFiNgk6YvTV6JMJihdkaBFNfW5,500
0x7983b10DD8aF40430981D2610d7Ac1D7a7672039,GjmEdjoTEyHrZ1icUcovRneHgeJ3qh1aoa2m13vGqGwU,1000
0x79F248A2d599188E4F8B54f86B883AAb3c86c511,Bq3vf8tNsY6tWVcJQmmc18jGBaaAvG5fb6jAX6KNHG3k,8000
0x7f215EF9Fd3aad9A100a7164bDcDed97aec3C2C6,CGjzfnVXxYNiNcLpiBG1gt7embix8b6oKj2erukWAXSX,2000
0x7f215f6Ceb3970DAc0A204459333De47eE39e4a0,8VeHC3PQUQR1tTqukaYCgQjMQKGxGS8xigfRyQbpmhnr,1000
0x7f617A41C27ae01714f101BE0452eF78FcF32e48,7wJAJKC7TweEpQhV5UQfJ5Fr1U2wFAxPcEPxtYtvZYQ2,500
0x801C7532722b13AFEFBD40dA1c83a783AD9799f7,3LVYX1tUJkN3EK4JTMmjhXh8wHruV8JrZ1gR9ZDYwZcH,500
0x8151152196FCda5c736E67C69670B439Fab9bdb8,FDir6pqUrQ4Y7yg69EFqf6ZaW522yhaC2or18ezFzTB2,1000
0x823275Cc0b25D405bF6585cE9Ee8479c2162E368,A8SVovvhRnqduPAyf9STEeLsmXpkuwpWsb5wLPWN8YNa,500
0x823d36bD9E1b6B09D4eE62422D62bBe912042EaA,4gY4oRacYZb554jqTnNsCM2X7YQUdcpYaw35HJLLbrnF,500
